id,c1_high,c2_high,c3_high,c4_high,water_diff
298,99.9,99.9,4.5,9.2,62.68647
299,0.5,2.5,11.1,15.3,8.24599
300,1.4,3.7,13.8,18,-14.90229
301,3.4,5.8,14.7,18.9,-15.87862
302,3.4,5.8,14.7,18.9,-15.87862
303,99.9,99.9,0.2,4.8,19.30186
304,99.9,99.9,0.2,4.8,19.30186
305,99.9,2.1,6.8,11.2,7.5052
306,99.9,99.9,99.9,99.9,70.03115
307,99.9,99.9,99.9,99.9,70.03115
308,99.9,99.9,0.5,5.4,34.0807
309,99.9,99.9,0.5,5.4,34.0807
310,99.9,99.9,4.5,9.2,10.58842
311,3.9,6.5,16.7,21.6,-28.99
312,3.9,6.5,16.7,21.6,-28.99
313,99.9,0.6,7,11.4,7.03139
314,0.5,2.5,11.1,15.3,-10.92928
315,0.5,2.5,11.1,15.3,-10.92928
316,99.9,99.9,4.5,9.2,18.86068
317,99.9,99.9,4.5,9.2,18.86068
318,99.9,99.9,4.5,9.2,18.86068
319,99.9,0.9,10.7,15.4,2.52287
320,99.9,0.9,10.7,15.4,2.52287
321,3.3,5.6,14.9,19.3,-7.57781
322,99.9,3.6,10.6,15.2,-6.88092
323,99.9,3.6,10.6,15.2,-6.88092
324,99.9,99.9,5.9,10.4,5.89059
325,99.9,99.9,5.9,10.4,5.89059
326,99.9,99.9,7.9,12.6,23.93213
327,99.9,99.9,7.9,12.6,23.93213
328,99.9,99.9,9.9,14.9,25.5527
329,99.9,99.9,9.9,14.9,25.5527
330,99.9,99.9,99.9,99.9,114.40101
331,99.9,0.9,10.7,15.4,-7.73392
332,99.9,0.9,10.7,15.4,-7.73392
333,2.3,4.1,13.7,18.2,-7.94982
334,2.3,4.1,13.7,18.2,-7.94982
335,2.3,4.1,13.7,18.2,-7.94982
336,1.5,4,14.3,18.6,-17.94445
337,3.3,5.4,12.6,16.9,-16.67937
338,3.3,5.4,12.6,16.9,-16.67937
339,3.3,5.5,15,19.6,-6.60908
340,2.3,4.1,13.7,18.2,-3.31952
341,2.3,4.1,13.7,18.2,-3.31952
342,99.9,99.9,99.9,99.9,52.52869
343,3.4,5.8,14.7,18.9,-14.18793
344,3.4,5.8,14.7,18.9,-17.05481
345,99.9,99.9,99.9,99.9,100.37487
346,99.9,99.9,99.9,99.9,100.37487
347,5.9,9.4,13.1,17.6,-8.85375
348,5.9,9.4,13.1,17.6,-8.85375
349,4.3,10.7,15.3,19.1,-6.71189
350,4.3,10.7,15.3,19.1,-6.71189
351,1.4,3.7,13.8,18,-12.5418
352,3.3,5.5,15,19.6,-10.1966
353,3.3,5.5,15,19.6,-10.1966
354,3.3,5.4,12.6,16.9,-7.9537
355,3.3,5.4,12.6,16.9,-7.9537
356,3.3,5.4,12.6,16.9,-17.52868
357,3.3,5.4,12.6,16.9,-17.52868
358,99.9,99.9,4.2,8.7,15.91434
359,99.9,99.9,4.2,8.7,15.91434
360,99.9,99.9,4.2,8.7,15.91434
361,99.9,99.9,4.2,8.7,18.36764
362,99.9,99.9,4.2,8.7,18.36764
363,99.9,99.9,3.8,9,35.30907
364,99.9,99.9,3.8,9,35.30907
365,99.9,99.9,3.8,9,35.30907
366,2.3,4.1,13.7,18.2,-14.59227
367,3.9,6.5,16.7,21.6,-8.94144
368,3.9,6.5,16.7,21.6,-8.94144
369,3.9,6.5,16.7,21.6,-8.94144
370,5.9,9.4,13.1,17.6,-5.963
371,99.9,0,10,14.6,-3.23916
372,99.9,0,10,14.6,-3.23916
373,5.9,9.4,13.1,17.6,-12.16191
374,5.9,9.4,13.1,17.6,-12.16191
375,99.9,99.9,99.9,99.9,112.20715
