id,prsqft,fsid,year,long,lat
3095,134.2592593,2.40472E+11,2013,-75.14741634,38.39711708
3096,197.6851852,2.40472E+11,2006,-75.14741634,38.39711708
3097,134.2592593,2.40472E+11,2013,-75.14741634,38.39711708
3098,125.5468066,2.40472E+11,2014,-75.11512775,38.33167102
3099,125.5468066,2.40472E+11,2014,-75.11512775,38.33167102
3100,227.4715661,2.40472E+11,2006,-75.11512775,38.33167102
3101,180.4812834,2.40472E+11,2015,-75.13709793,38.29141899
3102,151.068915,2.40472E+11,2006,-75.13877259,38.29713543
3103,151.068915,2.40472E+11,2006,-75.13877259,38.29713543
3104,139.5089286,2.40472E+11,2008,-75.19242489,38.22575626
3105,147.8794643,2.40472E+11,2016,-75.19242489,38.22575626
3106,151.6990291,2.40472E+11,2007,-75.11682735,38.32434974
3107,129.8035867,2.40472E+11,2010,-75.18820367,38.23519649
3108,228.4372331,2.40472E+11,2007,-75.18820367,38.23519649
3109,132.3654996,2.40472E+11,2010,-75.18820367,38.23519649
3110,138.8888889,2.40472E+11,2014,-75.17726555,38.3904386
3111,138.8888889,2.40472E+11,2014,-75.17726555,38.3904386
3112,210.6689453,2.40472E+11,2015,-75.13502521,38.37374075
3113,181.25,2.40472E+11,2010,-75.13502521,38.37374075
3114,200.1953125,2.40472E+11,2010,-75.13502521,38.37374075
3115,181.25,2.40472E+11,2010,-75.13502521,38.37374075
3116,210.6689453,2.40472E+11,2015,-75.13502521,38.37374075
3117,142.0454545,2.40472E+11,2009,-75.21316702,38.40007075
3118,142.0454545,2.40472E+11,2009,-75.21316702,38.40007075
3119,249.1476528,2.40472E+11,2007,-75.09796669,38.3287879
3120,249.1476528,2.40472E+11,2007,-75.09796669,38.3287879
3121,218.9465409,2.40472E+11,2006,-75.16257007,38.36719222
3122,155.6603774,2.40472E+11,2015,-75.16257007,38.36719222
3123,218.9465409,2.40472E+11,2006,-75.16257007,38.36719222
3124,42.96416667,2.40472E+11,2009,-75.4110815,38.15001696
3125,104.5918367,2.40472E+11,2012,-75.14548157,38.36973171
3126,104.5918367,2.40472E+11,2012,-75.14548157,38.36973171
3127,11.36363636,2.40472E+11,2016,-75.46873065,38.07070643
3128,167.1802773,2.40472E+11,2011,-75.1469585,38.39504946
3129,99.82638889,2.40472E+11,2011,-75.16239455,38.36863016
3130,35.17759563,2.40472E+11,2015,-75.39404498,38.09546154
3131,35.17759563,2.40472E+11,2015,-75.39404498,38.09546154
3132,169.5535714,2.40472E+11,2017,-75.17286092,38.38787849
3133,90.17857143,2.40472E+11,2017,-75.17286092,38.38787849
3134,136.5705615,2.40472E+11,2008,-75.14069248,38.3743715
3135,136.5705615,2.40472E+11,2008,-75.14069248,38.3743715
3136,77.38095238,2.40472E+11,2017,-75.13649578,38.447699
3137,66.66666667,2.40472E+11,2016,-75.19349059,38.33510301
3138,44.66666667,2.40472E+11,2013,-75.19349059,38.33510301
3139,136.119156,2.40472E+11,2012,-75.22840994,38.32569086
3140,155.1510137,2.40472E+11,2007,-75.22840994,38.32569086
3141,127.8444353,2.40472E+11,2013,-75.22840994,38.32569086
3142,127.8444353,2.40472E+11,2013,-75.22840994,38.32569086
3143,192.7083333,2.40472E+11,2007,-75.16481213,38.38381642
3144,192.7083333,2.40472E+11,2007,-75.16481213,38.38381642
3145,97.93253536,2.40472E+11,2014,-75.15583426,38.37701218
3146,147.4972797,2.40472E+11,2005,-75.15583426,38.37701218
3147,97.93253536,2.40472E+11,2014,-75.15583426,38.37701218
3148,336.5500603,2.40472E+11,2007,-75.15932413,38.37767342
3149,336.5500603,2.40472E+11,2007,-75.15932413,38.37767342
3150,437.1357202,2.40472E+11,2013,-75.40375325,38.15394761
3151,437.1357202,2.40472E+11,2013,-75.40375325,38.15394761
3152,118.538031,2.40472E+11,2012,-75.1670363,38.39110267
3153,118.538031,2.40472E+11,2012,-75.1670363,38.39110267
3154,164.6032269,2.40472E+11,2005,-75.1670363,38.39110267
3155,82.07070707,2.40472E+11,2008,-75.48335059,38.07351213
3156,75.75757576,2.40472E+11,2010,-75.48335059,38.07351213
3157,75.75757576,2.40472E+11,2010,-75.48335059,38.07351213
3158,137.0801919,2.40472E+11,2014,-75.1107817,38.40582614
3159,205.6202879,2.40472E+11,2007,-75.1107817,38.40582614
3160,205.6202879,2.40472E+11,2007,-75.1107817,38.40582614
3161,161.1827479,2.40472E+11,2017,-75.12017908,38.44863687
3162,246.3054187,2.40472E+11,2007,-75.119466,38.33618411
3163,246.3054187,2.40472E+11,2007,-75.119466,38.33618411
3164,172.1311475,2.40472E+11,2007,-75.40033471,38.09537999
3165,172.1311475,2.40472E+11,2007,-75.40033471,38.09537999
3166,118.6071817,2.40472E+11,2016,-75.1552963,38.37686739
3167,159.14037,2.40472E+11,2006,-75.1552963,38.37686739
3168,159.14037,2.40472E+11,2006,-75.1552963,38.37686739
3169,144.338565,2.40472E+11,2018,-75.13002713,38.3845806
3170,165.1069519,2.40472E+11,2015,-75.16439991,38.40158853
3171,237.8342246,2.40472E+11,2005,-75.13743746,38.29287362
3172,141.509434,2.40472E+11,2005,-75.13424788,38.36551796
3173,141.509434,2.40472E+11,2005,-75.13424788,38.36551796
3174,190.6318083,2.40472E+11,2006,-75.16057051,38.39017411
3175,190.6318083,2.40472E+11,2006,-75.16057051,38.39017411
3176,250.5183138,2.40472E+11,2007,-75.0992806,38.33046471
3177,250.5183138,2.40472E+11,2007,-75.0992806,38.33046471
3178,49.43502825,2.40472E+11,2015,-75.57086478,38.05862743
3179,154.532967,2.40472E+11,2015,-75.10984132,38.4056671
3180,140.8135896,2.40472E+11,2010,-75.24513521,38.25055345
3181,245.6331878,2.40472E+11,2015,-75.15120099,38.40165574
3182,245.6331878,2.40472E+11,2016,-75.15120099,38.40165574
3183,129.7577855,2.40472E+11,2005,-75.13134903,38.29314477
3184,205.5860806,2.40472E+11,2009,-75.15613006,38.40081351
3185,41.66666667,2.40472E+11,2006,-75.26256929,38.34503972
3186,174.689441,2.40472E+11,2008,-75.16025302,38.37330419
3187,174.689441,2.40472E+11,2008,-75.16025302,38.37330419
3188,180.5124224,2.40472E+11,2006,-75.16025302,38.37330419
3189,127.8625954,2.40472E+11,2007,-75.16820356,38.39017704
3190,127.8625954,2.40472E+11,2007,-75.16820356,38.39017704
3191,165.7392687,2.40472E+11,2009,-75.18228618,38.24607798
3192,157.7106518,2.40472E+11,2017,-75.18228618,38.24607798
3193,165.7392687,2.40472E+11,2009,-75.18228618,38.24607798
3194,185.9839422,2.40472E+11,2007,-75.13760955,38.29706581
3195,185.9839422,2.40472E+11,2007,-75.13760955,38.29706581
3196,127.6102088,2.40472E+11,2013,-75.13995441,38.29975518
3197,171.7172274,2.40472E+11,2007,-75.13995441,38.29975518
3198,127.6102088,2.40472E+11,2013,-75.13995441,38.29975518
3199,119.5987654,2.40472E+11,2007,-75.20257146,38.30841884
3200,125.617284,2.40472E+11,2011,-75.20257146,38.30841884
3201,125.617284,2.40472E+11,2011,-75.20257146,38.30841884
3202,115.6914894,2.40472E+11,2015,-75.20258335,38.36575783
3203,156.9105691,2.40472E+11,2013,-75.15640902,38.37610197
3204,156.9105691,2.40472E+11,2013,-75.15640902,38.37610197
3205,228.6585366,2.40472E+11,2006,-75.27497116,38.26594963
3206,228.6585366,2.40472E+11,2006,-75.27497116,38.26594963
3207,114.3761036,2.40472E+11,2015,-75.15141866,38.34127465
3208,170.0794585,2.40472E+11,2005,-75.15141866,38.34127465
3209,85.82834331,2.40472E+11,2012,-75.14903399,38.35149465
3210,147.6253493,2.40472E+11,2007,-75.14903399,38.35149465
3211,85.82834331,2.40472E+11,2012,-75.14903399,38.35149465
3212,256.0146358,2.40472E+11,2006,-75.14607053,38.34567104
3213,132.3987539,2.40472E+11,2010,-75.15748799,38.36649537
3214,99.68847352,2.40472E+11,2010,-75.15748799,38.36649537
3215,148.4375,2.40472E+11,2007,-75.11883391,38.32413697
3216,111.1778846,2.40472E+11,2014,-75.11883391,38.32413697
3217,148.4375,2.40472E+11,2007,-75.11883391,38.32413697
3218,111.1778846,2.40472E+11,2014,-75.11883391,38.32413697
3219,181.0688406,2.40472E+11,2006,-75.16832905,38.38608466
3220,124.5471014,2.40472E+11,2011,-75.16832905,38.38608466
3221,124.5471014,2.40472E+11,2012,-75.16832905,38.38608466
